,0
0,0.02734375
1,-0.0966796875
2,-0.064453125
3,-0.005859375
4,-0.0205078125
5,-0.4501953125
6,-0.0771484375
7,0.0087890625
8,-0.03515625
9,-0.1787109375
10,-0.064453125
11,0.0166015625
12,-0.02734375
13,-0.150390625
14,0.0
15,0.0830078125
16,0.0322265625
17,-0.0908203125
18,-0.0478515625
19,0.03515625
20,-0.013671875
21,-0.1318359375
22,0.0166015625
23,0.1005859375
24,0.0439453125
25,-0.076171875
26,-0.0126953125
27,0.064453125
28,0.00390625
29,-0.193359375
30,-0.109375
31,-0.0166015625
32,-0.0498046875
33,-0.189453125
34,-0.0751953125
35,0.01171875
36,-0.03125
37,-0.2138671875
38,-0.1083984375
39,-0.0166015625
40,-0.0537109375
41,-0.19140625
42,-0.072265625
43,0.0146484375
44,-0.03125
45,-0.1875
46,-0.0283203125
47,0.0634765625
48,0.015625
49,-0.0732421875
50,0.0703125
51,0.1455078125
52,0.08203125
53,0.0
54,0.1298828125
55,0.2001953125
56,0.1220703125
57,-0.0361328125
58,0.0244140625
59,0.0908203125
60,0.025390625
61,-0.146484375
62,0.0048828125
63,0.08984375
64,0.0341796875
65,-0.103515625
66,0.037109375
67,0.12109375
68,0.0576171875
69,-0.0908203125
70,0.0478515625
71,0.1259765625
72,0.0615234375
73,-0.103515625
74,-0.0654296875
75,0.0166015625
76,-0.0263671875
77,-0.140625
78,0.0107421875
79,0.09765625
80,0.0400390625
81,-0.1396484375
82,-0.0693359375
83,0.0126953125
84,-0.0341796875
85,-0.2763671875
86,-0.1484375
87,-0.0458984375
88,-0.0771484375
89,-0.19140625
90,-0.0751953125
91,0.015625
92,-0.03125
93,-0.138671875
94,-0.0263671875
95,0.0556640625
96,0.0
97,-0.1328125
98,0.015625
99,0.095703125
100,0.041015625
101,-0.1279296875
102,-0.0859375
103,0.001953125
104,-0.0341796875
105,-0.1435546875
106,0.0087890625
107,0.099609375
108,0.0419921875
109,-0.12109375
110,-0.052734375
111,0.03125
112,-0.0205078125
113,-0.2490234375
114,-0.125
115,-0.025390625
116,-0.0595703125
117,-0.1787109375
118,-0.060546875
119,0.029296875
120,-0.0205078125
121,-0.1318359375
122,-0.0166015625
123,0.0625
124,0.0068359375
125,-0.1259765625
126,0.0234375
127,0.1025390625
128,0.0478515625
129,-0.12109375
130,-0.0791015625
131,0.0068359375
132,-0.0283203125
133,-0.13671875
134,0.015625
135,0.1025390625
136,0.0478515625
137,-0.1162109375
138,-0.048828125
139,0.033203125
140,-0.0146484375
141,-0.2431640625
142,-0.1220703125
143,-0.0224609375
144,-0.0537109375
145,-0.171875
146,-0.0537109375
147,0.0322265625
148,-0.0146484375
149,-0.1240234375
150,-0.009765625
151,0.068359375
152,0.0126953125
153,-0.119140625
154,0.029296875
155,0.107421875
156,0.0517578125
157,-0.1171875
158,-0.0791015625
159,0.01171875
160,-0.0283203125
161,-0.1328125
162,0.0185546875
163,0.1064453125
164,0.0517578125
165,-0.1123046875
166,-0.04296875
167,0.0380859375
168,-0.009765625
169,-0.2412109375
170,-0.1171875
171,-0.017578125
172,-0.05078125
173,-0.1669921875
174,-0.0498046875
175,0.0361328125
176,-0.0107421875
177,-0.1201171875
178,-0.0048828125
179,0.0732421875
180,0.0166015625
181,-0.1162109375
182,0.029296875
183,0.1123046875
184,0.0556640625
185,-0.1103515625
186,-0.0693359375
187,0.021484375
188,-0.0205078125
189,-0.1279296875
190,0.0234375
191,0.1103515625
192,0.0576171875
193,-0.126953125
194,-0.0556640625
195,0.0302734375
196,-0.0146484375
197,-0.2587890625
