,0
0,-0.021484375
1,-0.1943359375
2,-0.125
3,-0.0576171875
4,-0.0634765625
5,-0.4697265625
6,-0.1201171875
7,-0.02734375
8,-0.0654296875
9,-0.1865234375
10,-0.0732421875
11,0.0068359375
12,-0.03515625
13,-0.173828125
14,-0.0224609375
15,0.060546875
16,0.0146484375
17,-0.1142578125
18,-0.07421875
19,0.013671875
20,-0.0302734375
21,-0.109375
22,0.025390625
23,0.0966796875
24,0.0322265625
25,-0.1201171875
26,-0.046875
27,0.033203125
28,-0.0166015625
29,-0.1005859375
30,0.033203125
31,0.10546875
32,0.037109375
33,-0.109375
34,0.0302734375
35,0.107421875
36,0.044921875
37,-0.0400390625
38,0.0927734375
39,0.1640625
40,0.0927734375
41,-0.0302734375
42,0.0107421875
43,0.0830078125
44,0.01953125
45,-0.111328125
46,0.0283203125
47,0.1083984375
48,0.044921875
49,-0.0693359375
50,-0.013671875
51,0.0634765625
52,0.0029296875
53,-0.125
54,-0.0234375
55,0.0517578125
56,-0.0068359375
57,-0.1494140625
58,-0.046875
59,0.0283203125
60,-0.0205078125
61,-0.1474609375
62,-0.0009765625
63,0.0810546875
64,0.0283203125
65,-0.0947265625
66,-0.0615234375
67,0.0263671875
68,-0.0244140625
69,-0.1396484375
70,0.0078125
71,0.09375
72,0.0341796875
73,-0.0751953125
74,-0.0126953125
75,0.0634765625
76,0.0029296875
77,-0.16796875
78,-0.0185546875
79,0.064453125
80,0.013671875
81,-0.16796875
82,-0.109375
83,-0.015625
84,-0.0537109375
85,-0.2060546875
86,-0.0947265625
87,-0.0068359375
88,-0.046875
89,-0.1728515625
90,-0.0625
91,0.021484375
92,-0.0263671875
93,-0.2001953125
94,-0.044921875
95,0.0478515625
96,0.0009765625
97,-0.0888671875
98,0.0517578125
99,0.1318359375
100,0.06640625
101,-0.05078125
102,0.0791015625
103,0.1533203125
104,0.083984375
105,-0.03515625
106,0.0927734375
107,0.162109375
108,0.0927734375
109,-0.0302734375
110,0.09765625
111,0.1669921875
112,0.0947265625
113,-0.0322265625
114,0.0947265625
115,0.1650390625
116,0.0888671875
117,-0.03125
118,0.09375
119,0.166015625
120,0.08984375
121,-0.033203125
122,0.0927734375
123,0.1640625
124,0.0888671875
125,-0.0478515625
126,0.0791015625
127,0.150390625
128,0.076171875
129,-0.0693359375
130,0.0634765625
131,0.1357421875
132,0.0654296875
133,-0.0146484375
134,0.1142578125
135,0.181640625
136,0.1015625
137,0.01171875
138,0.1337890625
139,0.19921875
140,0.11328125
141,-0.01171875
142,0.04296875
143,0.1064453125
144,0.029296875
145,-0.154296875
146,-0.0771484375
147,0.001953125
148,-0.0498046875
149,-0.1884765625
150,-0.080078125
151,0.0048828125
152,-0.0478515625
153,-0.18359375
154,-0.0732421875
155,0.0068359375
156,-0.044921875
157,-0.162109375
158,-0.013671875
159,0.0712890625
160,0.013671875
161,-0.0986328125
162,-0.0498046875
163,0.0341796875
164,-0.0224609375
165,-0.1552734375
166,-0.0087890625
167,0.078125
168,0.0166015625
169,-0.107421875
170,0.03125
171,0.109375
172,0.0439453125
173,-0.095703125
174,-0.0380859375
175,0.0341796875
176,-0.021484375
177,-0.2109375
178,-0.09765625
