,0
0,0.0244140625
1,-0.09375
2,-0.05078125
3,-0.001953125
4,-0.021484375
5,-0.455078125
6,-0.0625
7,0.0166015625
8,-0.03125
9,-0.146484375
10,-0.03125
11,0.0439453125
12,-0.0126953125
13,-0.1875
14,-0.0986328125
15,-0.0107421875
16,-0.0517578125
17,-0.1953125
18,-0.0810546875
19,0.0048828125
20,-0.0400390625
21,-0.2109375
22,-0.0927734375
23,-0.005859375
24,-0.046875
25,-0.1923828125
26,-0.0341796875
27,0.0556640625
28,0.0078125
29,-0.109375
30,0.0322265625
31,0.1142578125
32,0.056640625
33,-0.0634765625
34,0.0712890625
35,0.146484375
36,0.0791015625
37,-0.05078125
38,0.080078125
39,0.154296875
40,0.0830078125
41,-0.0654296875
42,0.0654296875
43,0.1376953125
44,0.0712890625
45,-0.0615234375
46,-0.0283203125
47,0.0478515625
48,-0.005859375
49,-0.1435546875
50,0.0048828125
51,0.0869140625
52,0.0322265625
53,-0.0595703125
54,0.0791015625
55,0.150390625
56,0.0791015625
57,-0.0517578125
58,-0.0283203125
59,0.052734375
60,-0.00390625
61,-0.1240234375
62,0.0205078125
63,0.1005859375
64,0.041015625
65,-0.0322265625
66,0.099609375
67,0.1689453125
68,0.0947265625
69,-0.0400390625
70,0.0234375
71,0.0888671875
72,0.0205078125
73,-0.1044921875
74,0.001953125
75,0.068359375
76,0.005859375
77,-0.1376953125
78,0.005859375
79,0.0869140625
80,0.0283203125
81,-0.1337890625
82,-0.0712890625
83,0.013671875
84,-0.03515625
85,-0.171875
86,-0.06640625
87,0.0166015625
88,-0.03125
89,-0.1416015625
90,-0.033203125
91,0.04296875
92,-0.01171875
93,-0.1484375
94,-0.0341796875
95,0.0361328125
96,-0.0185546875
97,-0.1337890625
98,0.0126953125
99,0.09375
100,0.0341796875
101,-0.08203125
102,-0.05078125
103,0.0361328125
104,-0.0166015625
105,-0.134765625
106,0.0126953125
107,0.0966796875
108,0.03515625
109,-0.0390625
110,0.0966796875
111,0.1689453125
112,0.091796875
113,-0.0380859375
114,0.025390625
115,0.0927734375
116,0.0224609375
117,-0.1044921875
118,0.0380859375
119,0.1162109375
120,0.048828125
